squadra,nome,chiave,ruolo,tipo,infortunio,rientro_data,rientro_nota,fonti
Venezia FC,Armel Bella-Kotchap,kotchap,,infortunato,Infortunio agli adduttori,06/10/2026,,transfermarkt
Udinese Calcio,Juan Arizala,arizala,,infortunato,Infortunio al bicipite femorale,06/10/2026,"il difensore fermo dal 6 settembre vittima di una lesione muscolare al bicipite femorale. Condizioni da valutare, ma dovrebbe tornare convocabile dalla prima metà di ottobre.",transfermarkt+fantacalcio.it
Genoa CFC,Elias Havel,havel,,infortunato,Problema agli adduttori,10/10/2026,,transfermarkt
SSC Napoli,Alisson Santos,santos,,infortunato,Infortunio al bicipite femorale,15/10/2026,Il brasiliano costretto al cambio il 9 settembre in Champions League vittima di una lesione muscolare di medio grado al bicipite femorale sinistro. Proverà a tornare arruolabile dalla seconda metà di ottobre.,transfermarkt+fantacalcio.it
ACF Fiorentina,Fabiano Parisi,parisi,,infortunato,Infortunio al legamento crociato,19/10/2026,,transfermarkt
Genoa CFC,Lorenzo Venturino,venturino,,infortunato,Operazione al ginocchio,30/10/2026,,transfermarkt
Parma Calcio,Hans Nicolussi Caviglia,caviglia,,infortunato,Pubalgia,02/11/2026,,transfermarkt
Juventus FC,Kenan Yıldız,yldz,,infortunato,Frattura del piede,25/11/2026,,transfermarkt
Monza,Mangas,mangas,,infortunato,,,"il cursore di fascia dei brianzoli costretto al cambio a Lecce il 13 settembre per un problema alla caviglia che andrà valutato in vista del match di venerdì, ma rischia il forfait contro il Sassuolo.",fantacalcio.it
Parma,Nicolussi Caviglia,nicolussicaviglia,,infortunato,,,"il centrocampista alle prese dalla seconda metà di luglio con una lesione di medio grado alla coscia destra, ma a fine agosto ha deciso, assieme allo staff medico ducale, di operarsi. Lungo stop e ipotesi di ritorno in campo da novembre.",fantacalcio.it
Sassuolo,Candè,cande,,infortunato,,,"il difensore a gennaio vittima della rottura legamento crociato anteriore ginocchio destro, punta a tornare convocabile dalla fine di settembre.",fantacalcio.it
