id,nome,eta,nato_il,nazionalita
37476,Kabasele,35,24/02/1991,Belgio
50946,Diego Carlos,33,15/03/1993,Brasile
59671,Lazzari,33,29/11/1993,Italia
62553,Gabbia,27,21/10/1999,Italia
63203,Pongracic,29,11/09/1997,Croazia
63462,Terzic,27,17/08/1999,Serbia
65433,Bellanova,26,17/05/2000,Italia
65906,Dodô,28,17/11/1998,Brasile
69996,Badiashile,25,26/03/2001,Francia
71550,Sugawara,26,28/06/2000,Giappone
95960,Sutalo,26,28/02/2000,Croazia
98928,Patterson,25,16/10/2001,Scozia
105359,Heggem,27,12/01/1999,Norvegia
109914,Bertola,23,23/03/2003,Italia
109993,Østigård,27,28/11/1999,Norvegia
119759,Schingtienne,24,14/08/2002,Belgio
119769,Moreno,23,24/09/2003,Argentina
68545,Lucumi,28,26/06/1998,Colombia
102281,Cambiaso,26,20/02/2000,Italia
111487,Halhal,23,05/03/2003,Marocco
101933,Rensch,23,18/01/2003,Olanda
109534,Amey,21,11/08/2005,Italia
120232,Maye,20,21/03/2006,Francia
120272,Arizala,21,10/10/2005,Colombia
43291,Caleta-Car,30,17/09/1996,Croazia
69271,Diogo Leite,27,23/01/1999,Portogallo
95212,Terracciano,23,08/02/2003,Italia
95257,Aurelio,26,22/03/2000,Italia
44633,Milinkovic-Savic,29,20/02/1997,Serbia
60457,Svilar,27,27/08/1999,Serbia
69665,Caprile,25,25/08/2001,Italia
118319,Mandas,25,17/09/2001,Grecia
45335,Vicario,30,07/10/1996,Italia
70334,Carnesecchi,26,01/07/2000,Italia
110653,Palmisani,22,12/06/2004,Italia
42646,Maignan,31,03/07/1995,Francia
94809,Robert Sanchez,29,18/11/1997,Spagna
95090,Josep Martinez,28,27/05/1998,Spagna
98983,Butez,31,08/06/1995,Francia
119794,Pessina,19,25/12/2007,Italia
38409,Falcone,31,12/04/1995,Italia
49089,Meret,29,22/03/1997,Italia
118370,Lucas Perri,29,10/12/1997,Brasile
94916,Muric,28,07/11/1998,Kosovo
38871,Skorupski,35,05/05/1991,Polonia
73141,Corvi,25,23/03/2001,Italia
118649,Mascardi,20,26/09/2006,Italia
59898,Bijlow,28,22/01/1998,Olanda
77144,Okoye,27,28/08/1999,Nigeria
102651,Stankovic,24,25/02/2002,Serbia
61406,Thiam,28,05/03/1998,Senegal
16631,David de Gea,36,07/11/1990,Spagna
