id,nome,ruolo,squadra,mv,presenze,fm,gol,assist,rig_segnati,rig_sbagliati,gol_subiti,rig_parati,ammonizioni,espulsioni,giornata,giornate_giocate,stagione,chiave
120322,Alex Amorim,C,Genoa,6.12,4,6.0,0,0,0,0,0,0,1,0,5,4,2026-2027,alexamorim
120430,Inao Oulai,C,Fiorentina,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,inaooulai
120442,Meichtry,C,Genoa,6.0,4,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,meichtry
120500,Foe Ondoa,C,Monza,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,foeondoa
17758,El Shaarawy,C,Genoa,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,elshaarawy
36130,de Roon,C,Roma,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,deroon
38964,Gagliardini,C,Cagliari,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,gagliardini
49768,Loftus-Cheek,C,Milan,6.12,4,6.0,0,0,0,0,0,0,1,0,5,4,2026-2027,loftuscheek
50707,Kessie,C,Atalanta,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,kessie
51334,Basic,C,Venezia,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,basic
52254,Moro,C,Bologna,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,moro
52468,Orsolini,C,Bologna,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,orsolini
53045,Sierro,C,Parma,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,sierro
54189,Sow,C,Genoa,6.0,4,6.0,0,1,0,0,0,0,1,0,5,4,2026-2027,sow
60968,Pobega,C,Bologna,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,pobega
61639,Zaniolo,C,Udinese,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,zaniolo
64560,Junior Messias,C,Genoa,6.0,4,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,juniormessias
67761,Brescianini,C,Fiorentina,6.0,4,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,brescianini
71361,Ghion,C,Sassuolo,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,ghion
71942,Gilmour,C,Napoli,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,gilmour
94911,Adrian Bernabe,C,Parma,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,adrianbernabe
96525,Ferguson,C,Bologna,6.0,4,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,ferguson
97355,Helgason,C,Venezia,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,helgason
118111,Keita,C,Parma,6.0,4,5.88,0,0,0,0,0,0,1,0,5,4,2026-2027,keita
120280,Ngom,C,Lecce,6.0,4,5.88,0,0,0,0,0,0,1,0,5,4,2026-2027,ngom
40467,Deiola,C,Cagliari,6.12,4,5.88,0,0,0,0,0,0,2,0,5,4,2026-2027,deiola
102118,Folorunsho,C,Monza,6.0,3,5.83,0,0,0,0,0,0,1,0,5,4,2026-2027,folorunsho
69380,Caqueret,C,Como,6.0,4,5.83,0,0,0,0,0,0,1,0,5,4,2026-2027,caqueret
116026,Lipani,C,Sassuolo,6.0,3,5.75,0,0,0,0,0,0,1,0,5,4,2026-2027,lipani
118972,Hasa,C,Frosinone,5.75,2,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,hasa
120220,Konate,C,Parma,6.0,2,5.75,0,0,0,0,0,0,1,0,5,4,2026-2027,konate
120507,Cichella,C,Frosinone,5.75,2,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,cichella
53662,Elmas,C,Atalanta,5.75,3,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,elmas
120434,Amondarain,C,Bologna,5.83,3,5.67,0,0,0,0,0,0,1,0,5,4,2026-2027,amondarain
102014,Odgaard,C,Bologna,5.75,4,5.62,0,0,0,0,0,0,1,0,5,4,2026-2027,odgaard
120119,Miller,C,Udinese,5.75,4,5.62,0,0,0,0,0,0,1,0,5,4,2026-2027,miller
59311,Schmid,C,Frosinone,5.75,4,5.62,0,1,0,0,0,0,2,0,5,4,2026-2027,schmid
94761,Kike Perez,C,Venezia,5.75,4,5.62,0,0,0,0,0,0,1,0,5,4,2026-2027,kikeperez
113110,Casadei,C,Torino,5.5,1,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,casadei
120516,Dagasso,C,Venezia,6.0,1,5.5,0,0,0,0,0,0,1,0,5,4,2026-2027,dagasso
120639,Toni Fernandez,C,Venezia,5.5,2,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,tonifernandez
20517,Mkhitaryan,C,Inter,6.0,1,5.5,0,0,0,0,0,0,1,0,5,4,2026-2027,mkhitaryan
