id,nome,chiave,ruolo,squadra,modulo,allenatore,titolare,giornata_testo
110749,Theate A.,theate,D,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
39156,Bernardeschi F.,bernardeschi,C,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
96525,Ferguson L.,ferguson,C,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
60968,Pobega T.,pobega,C,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
102053,Cambiaghi N.,cambiaghi,A,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
70458,Piccoli R.,piccoli,A,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
54144,Comert E.,comert,D,Torino,3-4-1,Abate,1,sabato 19 settembre 2026 - ore 15:00
118201,Comuzzo P.,comuzzo,D,Torino,3-4-1,Abate,1,sabato 19 settembre 2026 - ore 15:00
117029,Saul Coco,saulcoco,D,Torino,3-4-1,Abate,1,sabato 19 settembre 2026 - ore 15:00
119874,Cacciamani A.,cacciamani,C,Torino,3-4-1,Abate,1,sabato 19 settembre 2026 - ore 15:00
109703,Fitz-Jim K.,fitzjim,C,Torino,3-4-1,Abate,1,sabato 19 settembre 2026 - ore 15:00
116114,Gineitis G.,gineitis,C,Torino,3-4-1,Abate,1,sabato 19 settembre 2026 - ore 15:00
46949,Vlasic N.,vlasic,C,Torino,3-4-1,Abate,1,sabato 19 settembre 2026 - ore 15:00
60802,Simeone G.,simeone,A,Torino,3-4-1,Abate,1,sabato 19 settembre 2026 - ore 15:00
60457,Svilar M.,svilar,P,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
120128,Lulli E.,lulli,D,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
49438,Mancini G.,mancini,D,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
63346,Mario Hermoso,mariohermoso,D,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
