id,nome,ruolo,squadra,mv,presenze,fm,gol,assist,rig_segnati,rig_sbagliati,gol_subiti,rig_parati,ammonizioni,espulsioni,giornata,giornate_giocate,stagione,chiave,squadra_prev,mv_prev,fm_prev,presenze_prev,gol_prev,assist_prev,rig_segnati_prev,rig_sbagliati_prev,gol_subiti_prev,rig_parati_prev,ammonizioni_prev,espulsioni_prev,cambiato_squadra,delta_fm,da_titolare,subentrato,sostituito,pct_titolare,squadra_n,modulo,titolare_prob,titolare,titolare_fonte,rigorista,piazzati,indisponibile,infortunio,rientro_data,rientro_nota,giorni_stop,stop_lungo,gs_squadra,pg_squadra,gs_partita_squadra,gs_squadra_prev,pg_squadra_prev,gs_partita_squadra_prev,eta,nato_il,nome_completo,soprannome,obiettivo,fm_ponderata,bonus,punteggio,fascia,prezzo_indicativo
115130,Abankwah,D,Udinese,6.25,4,6.88,1,0,0,0,0,0,1,0,5,4,2026-2027,abankwah,,,,,,,,,,,,,0,,4,0,1,1.0,udinese,5-3-1,1,1,probabili formazioni,0,0,,,,,,,10,4,2.5,48.0,38.0,1.26,22,16/01/2004,,,,6.88,0.7,7.58,Semi-top,15-29
51611,Akanji,D,Inter,6.5,4,6.5,0,1,0,0,0,0,1,0,5,4,2026-2027,akanji,Inter,6.23,6.35,33.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.15,4,0,2,1.0,inter,4-3-2,1,1,probabili formazioni,0,0,,,,,,,6,4,1.5,35.0,38.0,0.92,31,19/07/1995,,,,6.39,0.5,6.89,Medio,5-14
118586,Alex Jimenez,D,Fiorentina,6.17,3,6.17,0,1,0,0,0,0,1,0,5,4,2026-2027,alexjimenez,,,,,,,,,,,,,0,,2,1,1,0.5,fiorentina,4-4-0,1,1,probabili formazioni,0,0,,,,,,,11,4,2.75,50.0,38.0,1.32,21,08/05/2005,,,,6.17,0.7,6.87,Medio,5-14
115890,Alex Valle,D,Como,6.67,3,6.83,0,1,0,0,0,0,0,0,5,4,2026-2027,alexvalle,Como 1907,6.19,6.31,28.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.52,3,0,0,0.75,como,,0,1,stima da presenze,0,0,,,,,,,4,4,1.0,29.0,38.0,0.76,22,25/04/2004,,,obiettivo mercato,6.44,0.7,7.14,Semi-top,15-29
50622,Alfonso Pedraza,D,Lazio,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,alfonsopedraza,,,,,,,,,,,,,0,,1,2,1,0.25,lazio,,0,0,,0,0,,,,,,,3,4,0.75,40.0,38.0,1.05,30,09/04/1996,,,,6.0,0.0,6.0,Scommessa,1-4
120604,Alhassane,D,Bologna,5.75,2,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,alhassane,,,,,,,,,,,,,0,,2,0,1,0.5,bologna,,0,0,,0,0,,,,,,,5,4,1.25,46.0,38.0,1.21,24,01/01/2002,,,,5.75,0.2,5.95,Scommessa,1-4
109534,Amey,D,Frosinone,0.0,1,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,amey,,,,,,,,,,,,,0,,0,1,0,0.0,frosinone,,0,0,,0,0,,,,,,,4,4,1.0,,,,21,11/08/2005,,,,0.0,0.2,0.2,Scommessa,1-4
120272,Arizala,D,Udinese,0.0,1,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,arizala,Udinese,5.69,5.69,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.69,0,1,0,0.0,udinese,,0,0,,0,0,infortunato,Infortunio al bicipite femorale,06/10/2026,"il difensore fermo dal 6 settembre vittima di una lesione muscolare al bicipite femorale. Condizioni da valutare, ma dovrebbe tornare convocabile dalla prima metà di ottobre.",20.0,,10,4,2.5,48.0,38.0,1.26,21,10/10/2005,,,,4.38,-0.3,4.08,Scommessa,1-4
95257,Aurelio,D,Cagliari,0.0,1,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,aurelio,,,,,,,,,,,,,0,,0,1,0,0.0,cagliari,,0,0,,0,0,,,,,,,2,4,0.5,53.0,38.0,1.39,26,22/03/2000,,,,0.0,0.2,0.2,Scommessa,1-4
69996,Badiashile,D,Napoli,5.5,1,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,badiashile,,,,,,,,,,,,,0,,0,1,0,0.0,napoli,,0,0,,0,0,,,,,,,5,4,1.25,36.0,38.0,0.95,25,26/03/2001,,,,5.5,0.2,5.7,Scommessa,1-4
