id,nome,partite,da_titolare,subentrato,sostituito,pct_titolare
40467,Deiola,4,4,0,1,1.0
102118,Folorunsho,3,2,1,0,0.5
69380,Caqueret,4,0,4,0,0.0
116026,Lipani,3,2,1,2,0.5
118972,Hasa,2,0,2,0,0.0
120220,Konate,2,1,1,1,0.25
120507,Cichella,2,1,1,1,0.25
53662,Elmas,3,1,2,1,0.25
120434,Amondarain,3,1,2,1,0.25
102014,Odgaard,4,3,1,2,0.75
120119,Miller,4,1,3,1,0.25
59311,Schmid,4,4,0,3,1.0
94761,Kike Perez,4,4,0,2,1.0
113110,Casadei,1,1,0,1,0.25
120516,Dagasso,1,0,1,0,0.0
120639,Toni Fernandez,2,0,2,0,0.0
20517,Mkhitaryan,1,1,0,1,0.25
60867,Chakvetadze,1,0,1,0,0.0
102496,Sohm,3,2,1,2,0.5
115836,Colombo,1,0,1,0,0.0
103077,Ciervo,2,0,2,0,0.0
115525,Stankovic,2,0,2,0,0.0
118183,Kaba,1,0,1,0,0.0
119754,Mbangula,2,0,2,0,0.0
120276,Gandelman,1,0,1,0,0.0
51864,Grillitsch,1,0,1,0,0.0
52556,Lovric,1,0,1,0,0.0
69264,Ricci,2,0,2,0,0.0
110166,Gatti,1,0,1,0,0.0
115158,Odenthal,1,1,0,0,0.25
102058,Carlos Augusto,2,1,1,0,0.25
120438,Kaiki,2,1,1,0,0.25
56975,Kamara,4,4,0,0,1.0
117151,Bisseck,3,2,1,0,0.5
119838,Tiago Gabriel,4,3,1,1,0.75
114323,Doig,4,4,0,2,1.0
115463,Favasuli,1,0,1,0,0.0
119724,Sagrado,3,1,2,1,0.25
110535,Ricardo Mangas,4,4,0,1,1.0
63346,Mario Hermoso,4,4,0,1,1.0
67789,Bremer,4,4,0,0,1.0
119152,Jacobo Ramon,4,4,0,0,1.0
115179,Bracaglia,4,4,0,2,1.0
118201,Comuzzo,4,4,0,2,1.0
49438,Mancini,4,4,0,1,1.0
115130,Abankwah,4,4,0,1,1.0
113511,Doekhi,3,3,0,0,0.75
115890,Alex Valle,3,3,0,0,0.75
119945,Wesley,3,3,0,1,0.75
49778,Dimarco,4,3,1,1,0.75
110625,Obert,4,4,0,1,1.0
113048,Oyono,4,3,1,0,0.75
51495,Rrahmani,4,4,0,0,1.0
51611,Akanji,4,4,0,2,1.0
67743,Ndicka,2,2,0,1,0.5
72863,Nuno Tavares,4,3,1,1,0.75
94914,Yan Couto,4,4,0,2,1.0
101889,Kalulu,4,4,0,0,1.0
120128,Lulli,4,4,0,2,1.0
61306,Bastoni,4,4,0,2,1.0
101890,Molina,3,1,2,0,0.25
43014,Zappacosta,3,2,1,0,0.5
54144,Comert,3,3,0,1,0.75
66177,Juan Miranda,3,2,1,0,0.5
95318,Chalobah,3,3,0,0,0.75
102806,De Winter,4,4,0,0,1.0
110692,Vasquez,4,4,0,2,1.0
119654,Rodriguez,4,4,0,1,1.0
120286,Helland,2,2,0,0,0.5
20809,Di Lorenzo,4,4,0,0,1.0
61216,Birindelli,4,4,0,1,1.0
66280,Celik,4,4,0,2,1.0
95361,Balerdi,2,1,1,0,0.25
118586,Alex Jimenez,3,2,1,1,0.5
59174,Estupinan,4,3,1,2,0.75
102886,Scalvini,4,4,0,0,1.0
111607,Floriani Mussolini,4,3,1,2,0.75
112395,Cittadini,4,3,1,2,0.75
116659,Leysen,4,3,1,0,0.75
120138,Siebert,4,3,1,0,0.75
26211,Spinazzola,4,3,1,0,0.75
71540,Vojvoda,4,4,0,2,1.0
102062,Valeri,4,4,0,0,1.0
102450,Bernasconi,2,1,1,1,0.25
102945,Dragusin,4,4,0,0,1.0
110749,Theate,2,2,0,0,0.5
111845,Ze Pedro,4,4,0,2,1.0
111873,Rafa Marin,4,4,0,1,1.0
112625,Mario Gila,4,4,0,3,1.0
118068,Ghilardi,2,1,1,0,0.25
118223,Bartesaghi,2,1,1,1,0.25
119515,Fortini,4,3,1,3,0.75
119839,Danilo Veiga,4,4,0,0,1.0
119843,Provstgaard Nielsen,4,4,0,0,1.0
120135,Belghali,2,1,1,1,0.25
120283,Drobnic,1,1,0,0,0.25
120428,Viery,3,2,1,0,0.5
120431,Koulierakis,1,0,1,0,0.0
17403,Rodriguez,1,0,1,0,0.0
17861,Juan Jesus,1,0,1,0,0.0
35198,Sabelli,2,2,0,1,0.5
38177,Haps,4,3,1,2,0.75
49976,Pavard,2,1,1,0,0.25
50622,Alfonso Pedraza,3,1,2,1,0.25
63096,Marusic,1,1,0,1,0.25
64713,Ranieri,2,2,0,1,0.5
69407,Gallo,3,3,0,1,0.75
76574,Zortea,2,1,1,1,0.25
95128,Kempf,2,1,1,0,0.25
95516,Kossounou,4,4,0,0,1.0
95957,Franjic,2,2,0,1,0.5
98169,Holm,4,3,1,1,0.75
117029,Saul Coco,4,4,0,1,1.0
119765,Kouadio,4,4,0,1,1.0
70846,Pavlovic,4,4,0,0,1.0
78237,Monterisi,4,2,2,1,0.5
95264,Ebosse,4,3,1,1,0.75
110366,Bella-Kotchap,3,3,0,1,0.75
39584,Stones,3,1,2,1,0.25
58739,Ismajli,3,1,2,0,0.25
65752,Solet,3,3,0,1,0.75
119948,Ndaba,2,1,1,0,0.25
120429,Valde,3,2,1,0,0.5
120499,Bakoune,3,1,2,1,0.25
120604,Alhassane,2,2,0,1,0.5
49392,Ehizibue,2,1,1,1,0.25
64709,Olivera,3,1,2,1,0.25
66418,Delprato,4,4,0,0,1.0
94722,Rafa Obrador,2,0,2,0,0.0
95196,Carboni,4,4,0,1,1.0
95701,Joao Mario,3,2,1,1,0.5
115107,Kofler,3,0,3,0,0.0
117802,Idzes,3,3,0,1,0.75
120151,Britschgi,3,3,0,3,0.75
70142,Thierry Correia,3,1,2,1,0.25
71322,Kelly,3,1,2,0,0.25
115833,Calvani,4,4,0,1,1.0
117727,Marcandalli,4,4,0,1,1.0
118057,Lucchesi,4,4,0,2,1.0
120136,Troilo,4,4,0,1,1.0
17350,Kolasinac,4,3,1,3,0.75
102393,Valenti,1,0,1,0,0.0
106152,Ndiaye,1,1,0,0,0.25
119561,Palma,1,1,0,1,0.25
119711,Kialonda Gaspar,3,3,0,1,0.75
119821,Otoa,1,0,1,0,0.0
119841,Smolcic,2,0,2,0,0.0
37476,Kabasele,2,1,1,0,0.25
50946,Diego Carlos,2,2,0,1,0.5
59671,Lazzari,2,0,2,0,0.0
62553,Gabbia,2,0,2,0,0.0
63203,Pongracic,2,1,1,1,0.25
63462,Terzic,2,0,2,0,0.0
65433,Bellanova,3,2,1,0,0.5
65906,Dodô,1,1,0,0,0.25
69996,Badiashile,1,0,1,0,0.0
71550,Sugawara,1,0,1,0,0.0
95960,Sutalo,1,1,0,1,0.25
98928,Patterson,1,0,1,0,0.0
105359,Heggem,4,4,0,0,1.0
109914,Bertola,3,0,3,0,0.0
109993,Østigård,4,4,0,1,1.0
119759,Schingtienne,4,4,0,0,1.0
119769,Moreno,2,1,1,1,0.25
68545,Lucumi,3,3,0,2,0.75
102281,Cambiaso,2,0,2,1,0.0
111487,Halhal,2,1,1,0,0.25
101933,Rensch,1,0,1,0,0.0
109534,Amey,1,0,1,0,0.0
120232,Maye,1,0,1,0,0.0
120272,Arizala,1,0,1,0,0.0
43291,Caleta-Car,1,0,1,0,0.0
69271,Diogo Leite,1,0,1,0,0.0
95212,Terracciano,1,0,1,0,0.0
95257,Aurelio,1,0,1,0,0.0
44633,Milinkovic-Savic,1,1,0,0,0.25
60457,Svilar,4,4,0,0,1.0
69665,Caprile,4,4,0,0,1.0
118319,Mandas,4,4,0,0,1.0
45335,Vicario,4,4,0,1,1.0
70334,Carnesecchi,4,4,0,0,1.0
110653,Palmisani,4,4,0,0,1.0
42646,Maignan,4,4,0,0,1.0
94809,Robert Sanchez,1,1,0,0,0.25
95090,Josep Martinez,4,4,0,0,1.0
98983,Butez,3,3,0,0,0.75
119794,Pessina,1,1,0,0,0.25
38409,Falcone,4,4,0,0,1.0
49089,Meret,3,3,0,0,0.75
118370,Lucas Perri,2,2,0,0,0.5
94916,Muric,4,4,0,0,1.0
38871,Skorupski,3,3,0,0,0.75
73141,Corvi,4,4,0,0,1.0
118649,Mascardi,2,2,0,0,0.5
59898,Bijlow,4,4,0,0,1.0
77144,Okoye,4,4,0,0,1.0
102651,Stankovic,4,4,0,0,1.0
61406,Thiam,3,3,0,0,0.75
16631,David de Gea,4,4,0,0,1.0
